Team,P,W,L,PTS,Win_Probability,Rank,Qualified,Logo
CSK,9,9,0,18,100.0,1,Yes,https://1000logos.net/wp-content/uploads/2024/03/Chennai-Super-Kings-Logo.png
PBKS,9,7,2,14,77.78,2,Yes,https://upload.wikimedia.org/wikipedia/en/d/d4/Punjab_Kings_Logo.svg
DC,9,6,3,12,66.67,3,Yes,https://1000logos.net/wp-content/uploads/2024/03/Delhi-Capitals-Logo.png
GT,9,6,3,12,66.67,4,Yes,https://1000logos.net/wp-content/uploads/2024/03/Gujarat-Titans-Logo.png
KKR,9,5,4,10,55.56,5,No,https://1000logos.net/wp-content/uploads/2024/03/Kolkata-Knight-Riders-Logo.png
RR,9,4,5,8,44.44,6,No,https://1000logos.net/wp-content/uploads/2024/03/Rajasthan-Royals-Logo.png
LSG,9,4,5,8,44.44,7,No,https://1000logos.net/wp-content/uploads/2024/03/Lucknow-Super-Giants-Logo.png
SRH,9,2,7,4,22.22,8,No,https://1000logos.net/wp-content/uploads/2024/03/Sunrisers-Hyderabad-Logo.png
RCB,9,1,8,2,11.11,9,No,https://i.pinimg.com/736x/f2/66/2f/f2662f7ebe37a550ec9bdb4ea0caee8c.jpg
MI,9,1,8,2,11.11,10,No,https://upload.wikimedia.org/wikipedia/en/c/cd/Mumbai_Indians_Logo.svg
